# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookups,1701665694584000000,1701665754573000000,0.0
Indexes.stubs.lookupDurationAvgMs,1701665694584000000,1701665754573000000,0.0
Indexes.entries.lookupDurationMaxMs,1701665694584000000,1701665754573000000,0.0
Indexes.allKeys.lookupDuration90PMs,1701665694584000000,1701665754573000000,0.0
Indexes.allKeys.lookups,1701665694584000000,1701665754573000000,0.0
VFSFlusher.totalFlushes,1701665694584000000,1701665754573000000,26
Indexes.stubs.lookups,1701665694584000000,1701665754573000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1701665694584000000,1701665754573000000,0.0
Indexes.entries.lookupDuration90PMs,1701665694584000000,1701665754573000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1701665694584000000,1701665754573000000,0.0
VFSFlusher.totalFlushingTimeUs,1701665694584000000,1701665754573000000,765416
workspaceModel.orphan.listener.update.ms,1701665694584000000,1701665754573000000,4
jps.app.storage.content.writer.save.component.ms,1701665694584000000,1701665754573000000,0
jps.app.storage.content.reader.load.component.ms,1701665694584000000,1701665754573000000,0
workspaceModel.load.cache.from.file.ms,1701665694584000000,1701665754573000000,332
workspaceModel.moduleManagerBridge.create.module.instance.ms,1701665694584000000,1701665754573000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1701665694584000000,1701665754573000000,0
jps.load.initial.state.ms,1701665694584000000,1701665754573000000,15
workspaceModel.mutableEntityStorage.modify.entity.ms,1701665694584000000,1701665754573000000,9
workspaceModel.mutableEntityStorage.resolve.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1701665694584000000,1701665754573000000,2
jps.reload.project.entities.ms,1701665694584000000,1701665754573000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1701665694584000000,1701665754573000000,2126
workspaceModel.moduleBridge.before.changed.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1701665694584000000,1701665754573000000,59
jps.global.get.library.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1701665694584000000,1701665754573000000,0
jps.module.iml.entities.serializer.save.entities.ms,1701665694584000000,1701665754573000000,0
jps.facet.change.listener.before.change.events.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1701665694584000000,1701665754573000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1701665694584000000,1701665754573000000,26
workspaceModel.mutableEntityStorage.remove.entity.ms,1701665694584000000,1701665754573000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1701665694584000000,1701665754573000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1701665694584000000,1701665754573000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1701665694584000000,1701665754573000000,308
jps.global.handle.changed.events.ms,1701665694584000000,1701665754573000000,0
jps.save.global.entities.ms,1701665694584000000,1701665754573000000,3
jps.load.project.to.empty.storage.ms,1701665694584000000,1701665754573000000,260
workspaceModel.global.updates.ms,1701665694584000000,1701665754573000000,0
jps.global.get.library.by.name.ms,1701665694584000000,1701665754573000000,0
workspaceModel.moduleBridge.update.option.ms,1701665694584000000,1701665754573000000,0
jps.project.serializers.load.ms,1701665694584000000,1701665754573000000,75
workspaceModel.moduleManagerBridge.get.modules.ms,1701665694584000000,1701665754573000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1701665694584000000,1701665754573000000,14
workspaceModel.global.apply.state.to.project.ms,1701665694584000000,1701665754573000000,74
workspaceModel.moduleBridge.facet.initialization.ms,1701665694584000000,1701665754573000000,1
jps.project.serializers.save.ms,1701665694584000000,1701665754573000000,3
workspaceModel.mutableEntityStorage.add.diff.ms,1701665694584000000,1701665754573000000,8
jps.library.entities.serializer.load.entities.ms,1701665694584000000,1701665754573000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1701665694584000000,1701665754573000000,177
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1701665694584000000,1701665754573000000,0
jps.module.iml.entities.serializer.load.entities.ms,1701665694584000000,1701665754573000000,26
workspaceModel.moduleManagerBridge.load.module.ms,1701665694584000000,1701665754573000000,0
jps.artifact.entities.serializer.load.entities.ms,1701665694584000000,1701665754573000000,0
jps.library.entities.serializer.save.entities.ms,1701665694584000000,1701665754573000000,0
jps.facet.change.listener.process.change.events.ms,1701665694584000000,1701665754573000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1701665694584000000,1701665754573000000,2
jps.global.handle.before.change.events.ms,1701665694584000000,1701665754573000000,0
jps.global.initialize.library.bridges.after.loading.ms,1701665694584000000,1701665754573000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1701665694584000000,1701665754573000000,15
jps.facet.change.listener.init.bridge.ms,1701665694584000000,1701665754573000000,1
jps.global.get.libraries.ms,1701665694584000000,1701665754573000000,1
workspaceModel.global.updates.count,1701665694584000000,1701665754573000000,0
jps.artifact.entities.serializer.save.entities.ms,1701665694584000000,1701665754573000000,0
jps.storage.jps.conf.reader.load.component.ms,1701665694584000000,1701665754573000000,32
jps.save.changed.project.entities.ms,1701665694584000000,1701665754573000000,3
jps.global.initialize.library.bridges.ms,1701665694584000000,1701665754573000000,0
workspaceModel.save.cache.to.file.ms,1701665694584000000,1701665754573000000,965
workspaceModel.sync.entities.ms,1701665694584000000,1701665754573000000,0
workspaceModel.mutableEntityStorage.entities.ms,1701665694584000000,1701665754573000000,3
jps.apply.loaded.storage.ms,1701665694584000000,1701665754573000000,42
StorageLockContext.competingThreads.max,1701665694584000000,1701665754573000000,1
FilePageCache.pageLoads,1701665694584000000,1701665754573000000,1236
StorageLockContext.competingThreads.avg,1701665694584000000,1701665754573000000,0.008620689655172414
FilePageCache.pageFastCacheHits,1701665694584000000,1701665754573000000,3934612
FilePageCache.maxRegisteredFiles,1701665694584000000,1701665754573000000,651
StreamlinedBlobStorage.recordsAllocated,1701665694584000000,1701665754573000000,92476
FilePageCache.totalPageDisposalsUs,1701665694584000000,1701665754573000000,14
StreamlinedBlobStorage.recordsRelocated,1701665694584000000,1701665754573000000,0
FilePageCache.capacityInBytes,1701665694584000000,1701665754573000000,524288000
FilePageCache.totalPageLoadsUs,1701665694584000000,1701665754573000000,310411
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1701665694584000000,1701665754573000000,441769984
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1701665694584000000,1701665754573000000,0
StorageLockContext.competingThreads.90P,1701665694584000000,1701665754573000000,0
DirectByteBufferAllocator.disposed,1701665694584000000,1701665754573000000,0
DirectByteBufferAllocator.hits,1701665694584000000,1701665754573000000,0
FilePageCache.disposedBuffers,1701665694584000000,1701665754573000000,0
FilePageCache.pageHits,1701665694584000000,1701665754573000000,996280
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1701665694584000000,1701665754573000000,1271948
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1701665694584000000,1701665754573000000,6523949
FilePageCache.uncachedFileAccess,1701665694584000000,1701665754573000000,2433
DirectByteBufferAllocator.reclaimed,1701665694584000000,1701665754573000000,0
FilePageCache.maxCacheSizeInBytes,1701665694584000000,1701665754573000000,441769984
FilePageCache.pageLoadsAboveSizeThreshold,1701665694584000000,1701665754573000000,0
StreamlinedBlobStorage.recordsDeleted,1701665694584000000,1701665754573000000,2
DirectByteBufferAllocator.misses,1701665694584000000,1701665754573000000,1236
JVM.usedNativeBytes,1701665694584000000,1701665754573000000,349702712
JVM.GC.collections,1701665694584000000,1701665754573000000,49
JVM.GC.collectionTimesMs,1701665694584000000,1701665754573000000,785
JVM.maxHeapBytes,1701665694584000000,1701665754573000000,2147483648
JVM.usedHeapBytes,1701665694584000000,1701665754573000000,503200024
JVM.totalCpuTimeMs,1701665694584000000,1701665754573000000,145344
JVM.threadCount,1701665694584000000,1701665754573000000,145
OS.loadAverage,1701665694584000000,1701665754573000000,-1.0
JVM.maxNativeBytes,1701665694584000000,1701665754573000000,-1
FileNameCache.fastMisses,1701665694584000000,1701665754573000000,23196267
FileNameCache.totalMisses,1701665694584000000,1701665754573000000,2028997
FileNameCache.queries,1701665694584000000,1701665754573000000,70397240
